y,x,,
1104501.95559,3107959.70643,,
1104685.66986,3108046.16836,,
1104852.45012,3108102.30773,,
1105018.14319,3108180.51002,,
1105215.29733,3108293.43805,,
1105368.32887,3108404.19159,,
1105456.26371,3108489.62002,,
1105548.05675,3108571.55281,,
1105655.21035,3108649.16163,,
1105743.71064,3108699.88654,,
1105823.81571,3108746.76345,,
1105897.91399,3108776.17326,,
1106035.72545,3108801.85593,,
1106146.02335,3108793.55702,,
1106205.4426,3108772.44695,,
1106293.95658,3108718.42893,,
1106344.36557,3108671.11775,,
1106384.83523,3108616.44802,,
1106427.6933,3108548.15901,,
1106458.47689,3108480.99178,,
1106478.98327,3108413.31786,,
1106489.128,3108346.85024,,
1106495.59363,3108285.3526,,
1106499.39343,3108208.26945,,
1106500.22079,3108086.29721,,
1106491.46787,3107966.93897,,
1106479.90005,3107867.5681,,
1106472.06039,3107795.77029,,
1106460.87277,3107725.65945,,
1106454.75897,3107672.38691,,
1106444.68198,3107617.00102,,
1106418.50471,3107503.56159,,
1106414.2337,3107492.06236,,
1106311.4202,3107249.43824,,
1106261.16719,3107154.23759,,
1106202.09659,3107063.75392,,
1106128.36992,3106957.09421,,
1106087.82764,3106908.73449,,
1106063.7386,3106874.92242,,
1106023.3651,3106823.1369,,
1105971.08606,3106769.04771,,
1105920.77306,3106709.90415,,
1105847.07102,3106637.58855,,
1105786.05895,3106586.50356,,
1105646.90646,3106483.48995,,
1105514.26787,3106387.66606,,
1105469.45596,3106356.26769,,
1105407.51572,3106324.02551,,
1105248.61924,3106273.27002,,
1105187.71688,3106254.81583,,
1105103.42571,3106223.18982,,
1105038.22886,3106187.35332,,
1104973.70714,3106137.81349,,
1104912.94863,3106081.59083,,
1104859.37893,3106018.85409,,
1104810.41619,3105932.30532,,
1104756.1209,3105814.58665,,
1104722.71676,3105691.02892,,
1104710.84508,3105618.32706,,
1104703.09933,3105566.43332,,
1104703.80782,3105482.33162,,
1104708.38916,3105424.17678,,
1104718.10891,3105366.27501,,
1104733.22015,3105303.48754,,
1104744.48389,3105249.09593,,
1104762.93631,3105188.19004,,
1104819.46692,3105086.23256,,
1104887.81846,3104988.29121,,
1104950.97282,3104926.15239,,
1105022.94439,3104859.29641,,
1105064.16949,3104825.81979,,
1105302.74005,3104651.57079,,
1105409.55887,3104574.41047,,
1105552.51609,3104495.59519,,
1105723.13205,3104412.99016,,
1105728.27059,3104413.24318,,
1105812.59576,3104374.46776,,
1106073.79868,3104265.41442,,
1106177.13429,3104224.14039,,
1106310.179,3104172.30919,,
1106486.80455,3104107.16941,,
1106648.54685,3104065.33622,,
1106844.04093,3104035.46726,,
1107041.10594,3104043.45232,,
1107207.53444,3104080.83747,,
1107355.56939,3104143.07425,,
1107471.05971,3104203.70892,,
1107656.80478,3104302.14582,,
1107796.72372,3104389.74108,,
1107927.6566,3104485.47997,,
1108139.56956,3104645.30733,,
1108404.3557,3104847.23417,,
1108572.38269,3104956.82171,,
1108766.52552,3105059.11005,,
1108933.68379,3105151.48408,,
1109063.38549,3105202.51859,,
1109197.86315,3105226.31353,,
1109292.41184,3105224.10138,,
