X,Y,fid,vertex_index,vertex_part,vertex_part_index,distance,angle
1106482.1486866,3104245.16547599,2,0,0,0,0,110.102991754012
1106614.37037811,3104196.77137921,3,1,0,1,140.799731215328,107.561372093688
1106720.27360465,3104168.35556069,4,2,0,2,250.448954343681,102.219301717128
1106814.37037811,3104152.74613168,5,3,0,3,345.831641717804,99.1950374400824
1106932.6578434,3104134.07213162,6,4,0,4,465.58406433064,96.9350703125978
1107053.84045371,3104123.68542509,7,5,0,5,587.210988626533,92.2595873208537
1107190.96812286,3104124.59428631,8,6,0,6,724.341669638895,87.0903061802254
1107286.67136473,3104133.7077237,9,7,0,7,820.4778503718,81.6686550589296
1107434.02966368,3104162.94704863,10,8,0,8,970.709026865949,72.4635871662126
1107551.89031033,3104215.05215769,11,9,0,9,1099.57358530114,62.8620699696156
1107648.35386582,3104271.70602478,12,10,0,10,1211.44350169348,56.0686365066061
1107731.66123197,3104335.48379136,13,11,0,11,1316.36118735267,51.4191870841829
1107814.37037811,3104404.21117796,14,12,0,12,1423.89842055553,51.4869330216552
1107937.39282035,3104497.93308836,15,13,0,13,1578.55390148583,51.5107128846455
1108090.75731713,3104625.15667125,16,14,0,14,1777.81882293228,51.6219351458784
1108232.66038061,3104732.39425767,17,15,0,15,1955.68500680559,54.2141586057625
1108370.27312074,3104826.94801888,18,16,0,16,2122.6511111613,55.0949037495157
1108564.37037811,3104964.4641438,19,17,0,17,2360.52593104342,56.6994809805681
1108764.37037811,3105085.98868857,20,18,0,18,2594.55202997609,58.8757078920101
1108889.75759914,3105161.22403082,21,19,0,19,2740.77894924612,63.5038690785536
1109070.85433398,3105234.49296784,22,20,0,20,2936.13596730008,73.6242533428153
1109228.10161255,3105264.27337199,23,21,0,21,3096.17839632541,80.8606095289521
1109344.60026398,3105279.72404219,24,22,0,22,3213.69715650779,87.0909389443406
1109494.83797781,3105275.16887766,25,23,0,23,3364.00391011857,95.2798868617443
1109652.19507267,3105250.74370637,26,24,0,24,3523.24537549677,102.922750183779
1109789.32112812,3105208.761472,27,25,0,25,3666.65410286742,109.9548488724
1110022.31107051,3105110.40346529,28,26,0,26,3919.5544997396,104.880109344192
1110186.15637811,3105090.65461017,29,27,0,27,4084.5857152736,92.4717925154463
1110310.61337994,3105094.84703849,30,28,0,28,4209.11330965196,83.662298773591
1110429.60043465,3105117.42900322,31,29,0,29,4330.22426835243,63.8854230156702
1110510.11020427,3105188.61564055,32,30,0,30,4437.69221864382,38.914325413098
1110544.94086701,3105250.65340211,33,31,0,31,4508.83896085047,19.2303285276887
1110558.00444921,3105331.76841596,34,32,0,32,4590.99918633348,6.03355407111555
1110563.77440674,3105444.95841931,35,33,0,33,4704.33615854247,355.677247484335
1110542.14815589,3105550.65340211,36,34,0,34,4812.22093093497,344.696600405523
1110513.28061467,3105634.28631703,37,35,0,35,4900.69578269994,337.901351908064
1110464.70615447,3105737.72695029,38,36,0,36,5014.97370179472,332.642722793215
1110422.21687835,3105812.64218492,39,37,0,37,5101.09937140341,328.417392281397
1110327.11102299,3105955.76178142,40,38,0,38,5272.93750053974,329.968206999441
1110288.60746671,3106033.12741297,41,39,0,39,5359.35488762636,335.616989094085
1110240.38911348,3106150.65340211,42,40,0,40,5486.38782710194,342.930187968024
1110220.95913636,3106243.39783334,43,41,0,41,5581.14569503986,352.176312530682
1110214.42799718,3106341.34044033,44,42,0,42,5679.30581953787,2.59860712952654
1110228.6272956,3106430.86749917,45,43,0,43,5769.95191344709,14.7518583063487
1110258.66900882,3106511.25416262,46,44,0,44,5855.76869615214,23.6778444334706
1110303.9536408,3106600.65340211,47,45,0,45,5955.98307593128,32.9091507594338
1110384.7994571,3106700.65340211,48,46,0,46,6084.57563408332,46.4480460075261
1110469.77611554,3106762.52407835,49,47,0,47,6189.68991979006,59.849385525443
1110554.44678512,3106800.65340211,50,48,0,48,6282.54985526683,68.4599480939683
1110664.37037811,3106838.15340211,51,49,0,49,6398.69393086456,77.8728277311973
1110796.17754715,3106850.65340211,52,50,0,50,6531.09249509287,93.0583046812107
1110899.37240135,3106829.5942395,53,51,0,51,6636.41422249207,107.053463430609
1110968.99127893,3106800.65340211,54,52,0,52,6711.80891848848,114.513943314682
1111069.47313917,3106750.65340211,55,53,0,53,6824.04351314394,117.509225889802
1111178.81396853,3106691.1293973,56,54,0,54,6948.53658167915,119.486646728712
1111296.62941343,3106621.9801668,57,55,0,55,7085.14586078024,121.69929981794
1111386.15612741,3106563.86590142,58,56,0,56,7191.88058032598,125.270764189393
1111508.63209351,3106469.70730089,59,57,0,57,7346.36748697714,129.124497211911
1111705.20187098,3106300.65340211,60,58,0,58,7605.63356286688,133.288225731833
1111782.45670955,3106220.98750873,61,59,0,59,7716.60637327349,136.896333017601
1111846.63375143,3106149.93046691,62,60,0,60,7812.35498107966,138.519395845013
1111964.37037811,3106013.88499995,63,61,0,61,7992.27241309472,142.840417927989
1112016.09364688,3105935.5781032,64,62,0,62,8086.11945146432,148.988901321165
1112064.37037811,3105846.94634967,65,63,0,63,8187.04630870927,154.153567387649
1112097.62840304,3105769.03514993,66,64,0,64,8271.75906610761,158.781648920004
1112132.80711256,3105668.69549226,67,65,0,65,8378.08680710447,165.928701798475
1112155.00775007,3105525.65340211,68,66,0,66,8522.84145421678,174.147572285726
1112160.19302629,3105422.68045442,69,67,0,67,8625.94487338845,181.299139868504
1112153.28169717,3105350.65340211,70,68,0,68,8698.30275295345,187.056188093314
1112135.53197975,3105233.72178699,71,69,0,69,8816.57386135119,192.807430498806
1112110.16158239,3105150.65340211,72,70,0,70,8903.43014281448,198.905997597352
1112065.38533757,3105032.95547315,73,71,0,71,9029.35756072437,205.673980125348
1111964.37037811,3104861.59924498,74,72,0,72,9228.27206237628,213.988309279352
1111879.37037811,3104750.65340211,75,73,0,73,9368.03607795158,216.801594334098
1111817.75741431,3104666.30338027,76,74,0,74,9472.49220986047,217.152465549294
1111743.33584626,3104571.59070321,77,75,0,75,9592.94577346724,216.863616099356
1111684.6982418,3104489.59086016,78,76,0,76,9693.75422012963,214.775117539344
1111634.5130441,3104415.13751927,79,77,0,77,9783.54204802327,210.46662859973
1111599.27821546,3104345.83989826,80,78,0,78,9861.28298592953,205.118112161133
1111572.87244885,3104284.48178855,81,79,0,79,9928.08180430743,201.917231771877
1111549.18697814,3104221.29890583,82,80,0,80,9995.55830534844,196.940562440956
1111526.55181796,3104125.7802419,83,81,0,81,10093.7222785466,191.031827897324
1111513.70652692,3104042.149552,84,82,0,82,10178.3337068273,186.594273698228
1111508.24585778,3103972.08385774,85,83,0,83,10248.6118714306,180.752730718359
1111511.23420641,3103914.11341473,86,84,0,84,10306.6592873042,176.475999211199
1111516.57481853,3103839.55408705,87,85,0,85,10381.4096416953,175.400929124579
1111522.39506943,3103774.35356823,88,86,0,86,10446.8694230528,171.209733720777
1111536.00177025,3103712.87328277,89,87,0,87,10509.8374133909,162.801150354089
1111561.03704478,3103650.65340211,90,88,0,88,10576.905129325,153.122534332058
1111601.3844093,3103585.67265401,91,89,0,89,10653.3930855478,143.429970962133
1111647.40308694,3103533.29694565,92,90,0,90,10723.1134808317,134.405170758194
1111727.46142067,3103465.8487662,93,91,0,91,10827.7967827972,125.898012382056
1111796.29054102,3103423.36841692,94,92,0,92,10908.6795861768,118.388568749945
1111864.37037811,3103391.48495861,95,93,0,93,10983.855507406,113.700197505769
1111940.55528786,3103360.23062999,96,94,0,94,11066.202174194,109.355134775564
1112006.04498792,3103340.95010007,97,95,0,95,11134.4710517845,105.512321954024
1112061.77852788,3103326.41190324,98,96,0,96,11192.0695469385,100.00125338504
1112116.04445112,3103321.29890583,99,97,0,97,11246.5758141645,93.0644747191918
1112160.87996616,3103320.71482086,100,98,0,98,11291.4151335678,89.47196597126
1112200.55364365,3103321.9633036,101,99,0,99,11331.1084503167,84.3304554269649
1112256.98930056,3103331.44451339,102,100,0,100,11388.3349888238,77.4516899449885
1112313.96156352,3103347.3085513,103,101,0,101,11447.4747085289,72.1033982426201
1112378.97567372,3103371.27191695,104,102,0,102,11516.7645159881,68.3098829122528
1112461.37761417,3103406.49923637,105,103,0,103,11606.3806073079,65.552600040954
1112540.98963614,3103444.89575623,106,104,0,104,11694.7682013423,63.2332289767516
1112608.70575405,3103480.57687635,107,105,0,105,11771.3097910676,61.6208961673328
