X,Y,fid,id,vertex_index,vertex_part,vertex_part_index,distance,angle
1106472.6465612,3104188.81154839,"1","1","0","0","0",0,101.414423211396
1106578.62955057,3104167.41386371,"2","1","1","0","1",108.121482345225,100.70721160578
1106648.27968429,3104155.13266592,"3","1","2","0","2",178.84608165365,95.9914534631458
1106743.90178755,3104151.82202997,"4","1","3","0","3",274.525478293527,90.4896830371696
1106841.76492712,3104153.53628717,"5","1","4","0","4",372.403630936907,88.5842948089241
1106948.70276081,3104156.94901232,"6","1","5","0","5",479.395906201419,86.6253727046522
1107041.35365354,3104164.92683202,"7","1","6","0","6",572.389634654185,83.7430951887129
1107182.64321058,3104183.75987088,"8","1","7","0","7",714.928830251609,80.2723359527355
1107334.87537057,3104215.73729208,"9","1","8","0","8",870.483277310823,75.5598558888074
1107549.53140222,3104281.43545235,"10","1","9","0","9",1094.96815472176,69.9881842585613
1107726.70673427,3104356.66471733,"11","1","10","0","10",1287.45332453188,64.3192167750458
1107883.71862814,3104441.40256132,"12","1","11","0","11",1465.87203717269,60.2139736786298
1108050.97544535,3104542.76366465,"13","1","12","0","12",1661.44533845189,56.7553188255904
1108179.45248256,3104633.63836604,"14","1","13","0","13",1818.81293499362,55.4337549280663
1108259.24513785,3104687.17570241,"15","1","14","0","14",1914.90203023405,55.9194168011877
1108335.96206205,3104739.51100159,"16","1","15","0","15",2007.77005486786,54.848737057826
1108411.85063241,3104794.6497448,"17","1","16","0","16",2101.57493808138,53.6872125768078
1108558.34886445,3104903.54558185,"18","1","17","0","17",2284.11270216863,54.8436009515013
1108675.5118007,3104981.64940926,"19","1","18","0","18",2424.92236620918,56.9344305189374
1108761.15033554,3105036.08683551,"20","1","19","0","19",2526.39843248292,60.3615670317329
1108875.5118007,3105093.94060101,"21","1","20","0","20",2654.56084076386,65.5790958732846
1108981.2859807,3105136.69254642,"22","1","21","0","21",2768.64811432694,74.0685739347781
1109103.29683456,3105157.88858707,"23","1","22","0","22",2892.4863983885,84.8500601422019
1109244.85628361,3105158.98723422,"24","1","23","0","23",3034.05011068849,95.4437772538412
1109388.69476325,3105130.16134424,"25","1","24","0","24",3180.74857748449,107.509578032227
1109484.64232728,3105088.0693978,"26","1","25","0","25",3285.52293979642,112.995587999221
1109568.84158077,3105053.52948842,"27","1","26","0","26",3376.53128901485,113.759760000898
1109675.5118007,3105003.29954157,"28","1","27","0","27",3494.43626508787,109.371285753848
1109774.39225651,3104979.51062503,"29","1","28","0","28",3596.13806984212,100.536605479656
1109859.11968811,3104968.28695804,"30","1","29","0","29",3681.60565648152,96.3234136058554
1109953.24773038,3104959.88475124,"31","1","30","0","30",3776.10796026963,92.8886578840291
1110044.56964715,3104958.80659564,"32","1","31","0","31",3867.43624121904,84.2412550355636
1110146.81011463,3104980.90037009,"33","1","32","0","32",3972.03666215561,76.171378393753
1110223.26862204,3105002.05152391,"34","1","33","0","33",4051.36682453467,67.6292607132656
1110293.23000362,3105041.27691919,"35","1","34","0","34",4131.57422162523,58.8262269648014
1110352.79245546,3105080.05989854,"36","1","35","0","35",4202.65027353999,51.4063623438232
1110399.79959399,3105125.64141109,"37","1","36","0","36",4268.12809695529,44.0035678431925
1110438.24142109,3105168.14852643,"38","1","37","0","37",4325.43977923758,32.1948860840775
1110468.44009236,3105241.90963517,"39","1","38","0","38",4405.14336077327,14.2953553654754
1110478.32427377,3105331.06936716,"40","1","39","0","39",4494.84929619647,3.27176498558157
1110478.64037219,3105414.30284084,"41","1","40","0","40",4578.08337010284,356.015135922733
1110459.70229465,3105545.93031685,"42","1","41","0","41",4711.06623825134,350.44149836926
1110443.98588327,3105627.31739444,"43","1","42","0","42",4793.95690108566,348.12351395107
1110416.4392143,3105748.33679068,"44","1","43","0","43",4918.07182056906,344.674569953932
1110389.42160924,3105832.34786702,"45","1","44","0","44",5006.32040090116,340.555395171021
1110357.30843498,3105915.73729208,"46","1","45","0","45",5095.67952004312,337.925985874422
1110313.0091156,3106019.66399924,"47","1","46","0","46",5208.6538098523,338.514549420762
1110278.93120079,3106113.88276632,"48","1","47","0","47",5308.84602685295,341.604697055842
1110259.88681449,3106176.54126401,"49","1","48","0","48",5374.33477384584,346.434523556438
1110244.22205487,3106263.38612352,"50","1","49","0","49",5462.58110134799,353.267847439579
1110240.20313858,3106334.39257027,"51","1","50","0","50",5533.70119111594,359.145026750319
1110241.99797844,3106401.61216805,"52","1","51","0","51",5600.94474675455,3.76988423169054
1110248.74942106,3106465.73729208,"53","1","52","0","52",5665.42430560829,13.0570738146838
1110275.5118007,3106538.85359557,"54","1","53","0","53",5743.28455734457,24.8308398676139
1110325.5118007,3106627.02064522,"55","1","54","0","54",5844.64248078101,36.4588930491454
1110391.14991173,3106696.52817686,"56","1","55","0","55",5940.24404234415,48.3844222241347
1110444.47276983,3106736.11643446,"57","1","56","0","56",6006.65606938002,55.7108236164668
1110503.9899113,3106773.28840476,"58","1","57","0","57",6076.8276127996,64.6679771137608
1110606.61172323,3106807.97773048,"59","1","58","0","58",6185.15390509707,79.76036625791
1110739.04199392,3106812.14515126,"60","1","59","0","59",6317.64973140759,96.0483805674159
1110938.35740388,3106762.82254463,"61","1","60","0","60",6522.97715814634,106.768589710727
1111037.87427193,3106727.31182463,"62","1","61","0","61",6628.63991535903,112.626913476466
1111137.56061771,3106679.51623407,"63","1","62","0","62",6739.19210218567,118.105935592572
1111233.03419328,3106623.06225135,"64","1","63","0","63",6850.10763670483,122.056453514701
1111318.38265742,3106566.53517064,"65","1","64","0","64",6952.4779018405,125.240280485753
1111531.67516591,3106406.01960595,"66","1","65","0","65",7219.42160506153,127.977748591074
1111684.50764102,3106282.29445384,"67","1","66","0","66",7416.05750898062,130.170697897043
1111797.60599761,3106182.76158249,"68","1","67","0","67",7566.71616536457,134.511449053487
1111904.1895727,3106065.73729208,"69","1","68","0","68",7725.0030663503,139.761613211238
1111966.01093126,3105987.03538866,"70","1","69","0","69",7825.08238477888,145.81505819846
1112013.11276628,3105906.17060113,"71","1","70","0","70",7918.66495112319,150.610903657756
1112050.17987505,3105838.06710899,"72","1","71","0","71",7996.20240139409,154.564945992468
1112073.89622052,3105780.27432486,"73","1","72","0","72",8058.67216159804,165.27239621974
1112088.25087705,3105665.73729208,"74","1","73","0","73",8174.10520730766,175.604692999644
1112091.97379462,3105536.26924776,"75","1","74","0","74",8303.62676773548,182.281827543537
1112075.5118007,3105384.99884902,"76","1","75","0","75",8455.79026789239,191.311875865425
1112029.95606841,3105230.34313337,"77","1","76","0","76",8617.01593312049,202.136306643517
1111969.36564903,3105115.71251578,"78","1","77","0","77",8746.67462896657,209.41656230959
1111926.44872993,3105044.21186209,"79","1","78","0","78",8830.06650760909,210.703161050392
1111854.89583843,3104922.41285782,"80","1","79","0","79",8971.32801589012,210.058366069298
1111775.5118007,3104783.14692859,"81","1","80","0","80",9131.63030686408,206.861406968501
1111737.17043075,3104697.18795486,"82","1","81","0","81",9225.75259866504,203.062065787003
1111683.83334458,3104565.73729208,"83","1","82","0","82",9367.61211194015,200.344323399908
1111660.13914997,3104495.34534005,"84","1","83","0","83",9441.88486447581,198.160958443222
1111634.5130441,3104415.13751927,"85","1","84","0","84",9526.08695362494,196.530081464192
1111609.98206363,3104325.72291586,"86","1","85","0","85",9618.80556182052,194.217864902294
1111593.57909596,3104255.20223299,"87","1","86","0","86",9691.20876658074,189.807903645729
1111582.12591537,3104155.01708836,"88","1","87","0","87",9792.04645076115,183.285561272307
1111582.04384799,3104059.78115718,"89","1","88","0","88",9887.28241729768,173.714754182015
1111600.7404036,3103976.27358525,"90","1","89","0","89",9972.85738888401,163.484526892309
1111631.35319276,3103894.0069792,"91","1","90","0","90",10060.6351613036,157.58527712689
1111675.88654829,3103795.91732425,"92","1","91","0","91",10168.3607393379,153.805015879997
1111716.03153296,3103720.32523336,"93","1","92","0","92",10253.9515332361,144.951689945024
1111791.54551307,3103636.8255746,"94","1","93","0","93",10366.5328558592,131.471223544602
1111883.73984618,3103572.10849543,"95","1","94","0","94",10479.174302023,119.035894141856
1111986.24611408,3103528.58803432,"96","1","95","0","95",10590.5366183343,105.659401550896
1112074.17918965,3103515.73729208,"97","1","96","0","96",10679.403751496,93.1450965471765
1112203.01536174,3103520.29102574,"98","1","97","0","97",10808.3203746614,82.2618475448576
1112302.1651415,3103544.00698448,"99","1","98","0","98",10910.2670544782,74.9914645372505
1112409.90936966,3103576.05538525,"100","1","99","0","99",11022.676656792,68.8602737281609
1112524.47714382,3103631.22860231,"101","1","100","0","100",11149.8374162953,60.7329521763611
1112655.51002514,3103715.73729208,"102","1","101","0","101",11305.7583405913,56.2848993796478
1112750.52196663,3103781.3073586,"103","1","102","0","102",11421.1996791527,56.3220340029556
1112878.82429435,3103863.81970636,"104","1","103","0","103",11573.7440164163,56.2372877879515
1113014.91691102,3103958.33610119,"105","1","104","0","104",11739.438159956,55.7191000724396
1113130.12569889,3104035.40867836,"106","1","105","0","105",11878.0500171512,56.5040550716464
1113298.93172471,3104145.91470579,"107","1","106","0","106",12079.8099151718,57.3364370303998
1113484.64486064,3104262.4893009,"108","1","107","0","107",12299.079167659,61.9036400592356
1113684.15324023,3104351.63211596,"109","1","108","0","108",12517.5969815782,67.3347526927604
